subject,n_sizes,size_mu_hat,size_tail_ok,size_tail_reason,size_xmin,size_ks,size_p_boot,n_durations,duration_mean,duration_std,duration_p99
S015,28,1.2255547036256682,True,ok,0.00012192392509642705,0.281799214154692,0.005,35,5.857142857142857,6.343243231492669,26.219999999999942
S016,23,1.2979514495501432,True,ok,0.00046072225351354685,0.30868741083251106,0.0,31,5.129032258064516,4.702380560359113,16.7
S017,25,1.3477818848202316,True,ok,0.00020560038703587482,0.36584056701760526,0.0,35,3.9714285714285715,3.45158940022638,12.659999999999997
S018,13,1.8431828975560292,True,ok,0.002391028728559416,0.15875257135524834,0.485,23,2.782608695652174,2.244927068421841,8.0
S019,42,1.1926391175047857,True,ok,7.565189485772336e-05,0.362449761842763,0.0,51,5.352941176470588,4.4537867977348276,17.0
S020,22,1.2957707118150619,True,ok,0.00036975652082618367,0.2985817171038928,0.0,29,3.7241379310344827,3.4430995631356183,15.039999999999992
S021,25,1.4087323703025163,True,ok,0.0017348674599357281,0.28058908847409325,0.0,34,4.588235294117647,4.123944763842615,17.700000000000017
S022,29,1.54861358739236,True,ok,0.0028232268759084203,0.13110475192361332,0.325,36,5.638888888888889,5.276534941384765,22.249999999999993
S023,47,1.284446259702364,True,ok,0.0006058815633504485,0.2878538010903179,0.0,57,6.315789473684211,5.03377328646596,18.879999999999995
S024,49,1.3075884276957446,True,ok,0.00015990502144793518,0.30850523375776495,0.0,59,5.406779661016949,4.1665278153633505,16.840000000000003
S025,33,1.3027771394776655,True,ok,0.00027084100266210965,0.3013067257242677,0.0,44,4.181818181818182,3.6759212034828597,16.42
S026,26,1.3039884874029408,True,ok,0.0002247718033871564,0.283993097947287,0.0,32,4.375,3.550968177835448,14.070000000000004
S027,21,1.626873279280925,True,ok,0.0018184472466539316,0.21131420260631872,0.045,36,3.888888888888889,3.510126444206959,13.299999999999997
S028,20,1.4831974333671456,True,ok,0.0005158007578407387,0.19476772742818393,0.13,40,2.725,2.810582679801468,12.0
S029,21,1.3458472696128658,True,ok,0.00023133944965704915,0.26332759855460897,0.0,30,4.133333333333334,3.721409529854097,14.840000000000003
S030,34,1.4441421489917843,True,ok,0.0020345641231832206,0.2687776434849941,0.0,40,5.65,4.865953144040744,22.83
S031,36,1.5732492763688621,True,ok,0.000541309583439542,0.1821186610784734,0.015,50,4.18,3.937969019685147,16.039999999999992
S032,40,1.3654987268492695,True,ok,0.0004162585472944724,0.29755812514229807,0.0,46,6.8478260869565215,5.3931010330201445,19.0
S033,38,1.509148962376146,True,ok,0.004414242264452517,0.17621052625993577,0.035,54,6.074074074074074,4.902198493389176,17.0
S034,27,1.6032103941007185,True,ok,0.003289175735120505,0.1548522756745907,0.175,33,6.0606060606060606,4.585480338603672,14.68
S035,43,1.3033223910886258,True,ok,0.00034367515432700755,0.3212542953911509,0.0,52,8.634615384615385,6.4748889095128535,24.490000000000002
S036,20,1.4957877099879164,True,ok,0.002837001779386511,0.18832545809621215,0.11,30,4.7,4.083707465853384,15.71
S037,32,1.37664731605612,True,ok,0.0005652873086283114,0.3143422462000045,0.0,40,4.4,3.056141357987225,12.219999999999999
S038,42,1.195058974808093,True,ok,4.265715433789656e-05,0.36645268069335135,0.0,47,5.74468085106383,4.334267638479856,17.619999999999997
S039,16,1.4557588606460994,True,ok,0.0016563732935234933,0.29358535197030866,0.02,24,4.75,3.854110359949059,14.77
S040,23,1.262682390852208,True,ok,0.00016113267772423505,0.3694004555777318,0.0,34,4.323529411764706,3.520700032624646,14.680000000000007
S041,29,1.3575429671028194,True,ok,0.0012091467259169285,0.22101581692547628,0.01,35,5.6,4.605586669625117,16.95999999999998
S042,26,1.4501168168519452,True,ok,0.0005612427599548564,0.21376366035853334,0.02,37,4.45945945945946,4.541666527052715,18.64
S043,28,1.243556213424668,True,ok,0.0003517977323263781,0.36216506002979926,0.0,35,6.2,5.3548375992447905,21.97999999999999
